mod,protein1,protein2,interaction,interaction_pair
BVWHOZYQECWMFG-UHFFFAOYSA-N,Q96CV9,Q6WZM0,1,NRP_VEGF
QOMWRBSYVJRNTB-UHFFFAOYSA-N,Q96GG9,P61081,0,DCN1_UBE2M
SAXSNPQVWORANT-UHFFFAOYSA-N,P04637,I6T4L2,1,P53_HDM2
DKZGXLFQZIHVSR-ZZXKWVIFSA-N,B7Z5M1,H3BQR0,0,Importin subunit beta-1_Snurportin-1
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q9UBK2,AF-A0A0B6XJZ8-F1-model_v4,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 2
VLUCXJXOZXEFPA-IYBDPMFKSA-N,AF-P56273-F1-model_v4,P04637,1,XDM2_P53
DNDWMGBJOGKNSP-UHFFFAOYSA-N,A8MYV6,Q09472,0,HIF-1a_p300
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,Q9GZT4,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q9UBK2,B4DYT5,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
BVWHOZYQECWMFG-UHFFFAOYSA-N,P55209,Q9UNS8,1,NRP_VEGF
NICLDNFOUWEYPY-UHFFFAOYSA-N,K7EJD8,Q16236,1,KEAP1_NRF2
SUNSLACFIOGRFF-VWLOTQADSA-N,Q8NBP7,H0YMD1,1,PCSK9_LDLR
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,Q9GZT4,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
RIBYLXUNNWIWJK-AOMKIAJQSA-N,AF-P56273-F1-model_v4,P04637,1,XDM2_P53
YYVYAPXYZVYDHN-UHFFFAOYSA-N,A0A2U3TZT9,Q00G26,1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5_Perilipin-5
YZRQBRVRVKEHSG-UHFFFAOYSA-N,P33681,P10747,1,CD80_CD28
BZXKWTWZOMZUEU-UHFFFAOYSA-N,A1A564,A0N7C6,0,BCoR_BCL6
BJNWHSZSRCJLNX-IQCCBIBNSA-N,B4E3L8,O43521,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
ABXZOXDTHTTZJW-GFCCVEGCSA-N,Q13671,B4DH91,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
RXCDHJANJVJLRC-ZETCQYMHSA-N,P20701,A0A1C9J7T1,1,LFA_ICAM
IMIZVELSXSSHES-UHFFFAOYSA-N,M4PPE6,Q14397,1,Glucokinase_Glucokinase regulatory protein
BJNWHSZSRCJLNX-IQCCBIBNSA-N,Q07820,H7BZE5,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
VLUCXJXOZXEFPA-IYBDPMFKSA-N,AF-R6XDM2-F1-model_v4,P04637,1,XDM2_P53
BVWHOZYQECWMFG-UHFFFAOYSA-N,P55209,Q6WZM0,1,NRP_VEGF
YYVYAPXYZVYDHN-UHFFFAOYSA-N,Q5VV67,C9JNV9,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor corepressor 2
CLHWAAAYYHMVJX-ZJSXRUAMSA-O,B1AKU2,Q9NR28,1,XIAP_SMAC
KXHZWUUTWSKONE-UHFFFAOYSA-N,A8MRB1,K7PPA8,0,S100B_p53
DOVNUEPFPBWTSV-UHFFFAOYSA-N,E9PNR2,Q59F19,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
OHZOKKGTLRVETE-UHFFFAOYSA-N,P03971,AF-E7EQJ3-F1-model_v4,1,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
WRPSYMIONPCVAD-UHFFFAOYSA-N,M4PPE1,Q14397,1,Glucokinase_Glucokinase regulatory protein
ICKFFNBDFNZJSX-UHFFFAOYSA-N,A0A059VC25,B5A927,1,FAK_VEGFR3
BBVKWFPUAZBKNG-SFTDATJTSA-N,H2EHT1,O15151,0,p53_MDMX
BVUICRXIFODRFJ-RUZDIDTESA-N,Q0GK43,A2N4P8,0,IL2_IL2R
ODEKNMDFMSYWJO-UHFFFAOYSA-N,B0LXF2,P52952,1,GATA4_NKX2-5
TYLLBOCDKUXAKC-UHFFFAOYSA-N,P33681,P10747,1,CD80_CD28
GEKDQXSPTHHANP-OUKQBFOZSA-N,E9PJ30,A0A248X3Y4,0,Rad51_BRCA2
ODEKNMDFMSYWJO-UHFFFAOYSA-N,E9PKS4,A1ECB6,1,GATA4_NKX2-5
OQITXJWQXJJLAN-SFTDATJTSA-N,P04637,I6T4L2,1,P53_HDM2
VASHQEUCSDUGFP-UHFFFAOYSA-N,A6MUU8,AF-P04233-F1-model_v4,0,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
OHTDXSAFYXPXKY-UHFFFAOYSA-O,W0UV93,Q13009,1,RAC1_TIAM1
YKYPXFBQABKRKC-UHFFFAOYSA-N,AF-Q5EBM5-F1-model_v4,Q6NXT2,1,PB1-5_H3
UXNNZCZIBVBREP-UHFFFAOYSA-N,Q16665,Q09472,1,HIF-1a_p300
ICKFFNBDFNZJSX-UHFFFAOYSA-N,A0A059VC25,P35916,1,FAK_VEGFR3
NADUQCROZYTGPH-JYFOCSDGSA-N,H0YM16,A0A0S2Z5D6,1,Perilipin-1_ABHD5
IZBZZJWLLSFVOC-UHFFFAOYSA-N,E9PJ30,A0A248X3X9,0,Rad51_BRCA2
TYNCKJHZTHKMLM-BKUYFWCQSA-N,Q14145,Q16236,0,KEAP1_NRF2
GXGGKRHOVUZRQG-JQIJEIRASA-N,AF-A0A024R8I1-F1-model_v4,A0A0G2JMD7,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
DEKPGHJYVZOHKE-UHFFFAOYSA-N,O75475,AF-A0A0M3KKW8-F1-model_v4,1,LEDGF_IN
WHYNNQMYHZONCV-VHSSKADRSA-N,A0A024R2F2,A8MYV6,1,VHL_HIF1A
ZEEUKGDEIRTJNY-UHFFFAOYSA-N,Q16665,Q09472,1,HIF-1a_p300
PLNHZWDKSADKGN-UHFFFAOYSA-N,A1A564,A0N7C7,1,BCoR_BCL6
YTBMKTFORKIZLN-UHFFFAOYSA-N,P04637,I6TVS5,0,P53_HDM2
IQPNAANSBPBGFQ-UHFFFAOYSA-N,AF-Q9NVM2-F1-model_v4,Q5TEC6,1,PB1-5_H3
YBJHBAHKTGYVGT-ZKWXMUAHSA-N,E9PNR2,A0A023PX70,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
BBKODUSYDNJJKK-UHFFFAOYSA-N,B7Z5M1,H3BSK1,0,Importin subunit beta-1_Snurportin-1
YFKXFOCASJBSEU-UHFFFAOYSA-N,O14980,Q9UBZ9,0,CRM1_Rev
DWMCRHSIZLSSQY-LFIBNONCSA-N,Q9GZQ5,Q9UPD0,0,MENIN_MLL
DIFKWHRMEGFLSD-DBEUHZBBSA-N,A0A2R8Y804,P17544,1,Catenin beta-1_Transcription factor 7
WRLIFDLBMCTVHJ-UHFFFAOYSA-N,G8HXG1,O75475,1,INTEGRASE_LEDGF
BAMXBFLPNULUET-UHFFFAOYSA-N,A0N2G3,Q6V3B1,1,MYC_MAX
OAAUAVKUYWNZAY-UHFFFAOYSA-N,P43694,A1ECB1,1,GATA4_NKX2-5
ZISVVFAZFZVTIA-UHFFFAOYSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,0,ZIPA_FTSZ
UVAACYFOGMUNTD-UHFFFAOYSA-N,A0A5F9ZGX7,A0N7C6,0,BCoR_BCL6
HYXMPCIQSWHPTK-UHFFFAOYSA-N,P33681,P10747,1,CD80_CD28
OYXAQOBSVXPZMQ-UHFFFAOYSA-N,E9PI54,A0A248X3Z6,0,Rad51_BRCA2
BJNWHSZSRCJLNX-IQCCBIBNSA-N,B4DG83,E9PAM9,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
QTQJZLSUROYVQY-MFYWSIJSSA-N,O14786,P15692,1,Neuropilin-1_VEGF-A
KNJKLBLRJBJXFN-UHFFFAOYSA-N,B4E3L8,C9J417,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
SLGRAIAQIAUZAQ-UHFFFAOYSA-N,E9PNR2,Q59F19,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
ICKFFNBDFNZJSX-UHFFFAOYSA-N,A0A059VC25,P35916,1,FAK_VEGFR3
DBYOJRHWEJEBCL-CYBMUJFWSA-N,P01112,C9K0N6,1,HRAS_SOS1
RSZNDMJETBKFRP-UHFFFAOYSA-N,Q0VDC5,Q1JUQ3,1,FKBP1A_FK506
AVOLMBLBETYQHX-UHFFFAOYSA-N,O60240,A0A2U3TZT9,1,Perilipin-1_ABHD5
URRDWILHXUGXPV-UHFFFAOYSA-N,AF-Q9NVM2-F1-model_v4,Q5TEC6,1,PB1-5_H3
STQXHFNGNQVFQB-UHFFFAOYSA-N,Q96GG9,M0QX69,0,DCN1_UBE2M
LEFMIEUBWDMNAT-UHFFFAOYSA-N,L7RSL8,C9K0N6,1,KRAS_SOS1
CHRDROHURUMVLJ-UHFFFAOYSA-N,A8MRB1,H2EHT1,1,S100B_p53
AARUNXNNAZIAQK-UHFFFAOYSA-N,B3CJ72,A0A494C130,1,MYC_MAX
IAYFTVLDDWMEDT-XYOKQWHBSA-N,AF-A0A024R8I1-F1-model_v4,A0A0D9SFA9,1,Voltage-gated N-type calcium channel alpha-1B subunit_Amyloid beta A4 precursor protein-binding family A member 1
BJNWHSZSRCJLNX-IQCCBIBNSA-N,B4DG83,O43521,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
NJPUZFUOUGTNOV-UHFFFAOYSA-N,H9KVB1,J3KS23,1,Runt-related transcription factor 1_Core-binding factor subunit beta
HYIMSNHJOBLJNT-UHFFFAOYSA-N,H0YM16,C9J1D1,1,Perilipin-1_ABHD5
SLOODFCFHRMFEF-MVJPYGJCSA-N,B1AKU2,Q9NR28,1,XIAP_SMAC
BJNWHSZSRCJLNX-IQCCBIBNSA-N,Q07820,O43521,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
VALDLJHSDBHIOB-UHFFFAOYSA-N,A0A2R8YCH5,E5RG75,1,Beta-catenin_TCF
UFMMPSKCGPWMLI-UHFFFAOYSA-N,Q5T0Y2,P04637,1,MDM4_P53
KHWCHTKSEGGWEX-RRKCRQDMSA-N,B2R6I9,A0A494C0A9,0,Runt-related transcription factor 1_Core-binding factor subunit beta
KWGRBVOPPLSCSI-WCBMZHEXSA-N,P63096,B7Z8B8,1,Guanine nucleotide-binding protein G(i) subunit alpha-1_Regulator of G-protein signaling 12
KCALAFIVPCAXJI-UHFFFAOYSA-N,Q13671,B4DH91,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
YYVYAPXYZVYDHN-UHFFFAOYSA-N,A0A2U3TZT9,K7EIX1,1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5_Perilipin-5
CTMSGNYEINNMPK-UHFFFAOYSA-N,A0A2R8Y543,P36402,1,Beta-catenin_TCF
OTONOFNXSMNLHM-UHFFFAOYSA-N,V9GYQ5,AF-A0A0S2Z449-F1-model_v4,1,WDR5_Mixed-lineage leukemia 1 (MLL1)
KWGRBVOPPLSCSI-WCBMZHEXSA-N,A0A3B3IUA8,O14924,1,Guanine nucleotide-binding protein G(i) subunit alpha-1_Regulator of G-protein signaling 12
OHOWMSISBAWFED-UHFFFAOYSA-N,P61964,AF-A0A0S2Z449-F1-model_v4,1,WDR5_Mixed-lineage leukemia 1 (MLL1)
OTRLVHIQEWHJOK-UHFFFAOYSA-N,A0A087WZ09,A1ECB1,1,GATA4_NKX2-5
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q86YN6,B4DL21,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
UMPJRGAFFRSXRX-MHWRWJLKSA-N,Q9UBK2,Q15788,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
SAVTWYBICKMDSC-MRVPVSSYSA-N,P15692,A0A1W2PNW4,1,VEGF_VEGFR
JNQFAANOKKVGDE-ONEGZZNKSA-N,O14980,Q9UBZ9,0,CRM1_Rev
HYXMPCIQSWHPTK-UHFFFAOYSA-N,A0N0P2,P10747,1,CD80_CD28
CLBLWDSQANNIBO-DHZHZOJOSA-N,A0A2U3TZT9,Q00G26,1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5_Perilipin-5
VMEWEHODLARPJN-UHFFFAOYSA-N,E9PJ30,A0A2S1WCJ3,0,Rad51_BRCA2
ZCFGJNKDWNKKRQ-GOSISDBHSA-N,A8MYV6,Q09472,1,HIF-1a_p300
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,Q9NUV7,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
DSHYKWSHOCCDGA-UHFFFAOYSA-N,O14788,Q9Y6Q6,1,RANKL_RANK
NWLAYUVGWMPNSG-UHFFFAOYSA-N,I4AY87,AF-E7EQJ3-F1-model_v4,1,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
DDLIGBOFAVUZHB-UHFFFAOYSA-N,M0QZD9,O14929,1,Bromodomain_Histone
YYVYAPXYZVYDHN-UHFFFAOYSA-N,Q8WTS1,K7EIX1,1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5_Perilipin-5
AARUNXNNAZIAQK-UHFFFAOYSA-N,Q14901,G3V563,1,MYC_MAX
VLSZBFXLXHWWLO-ZHACJKMWSA-N,C9DZM4,Q9HBJ4,0,MENIN_MLL
KYLYKQAFRDSXIV-UHFFFAOYSA-N,P10415,Q16611,1,"BCL-like_BAX,BAK"
ICKFFNBDFNZJSX-UHFFFAOYSA-N,A0A059VC25,P35916,1,FAK_VEGFR3
UHRYZMBTHSVABG-VMPITWQZSA-N,B7Z5M1,H3BUB4,0,Importin subunit beta-1_Snurportin-1
OHOWMSISBAWFED-UHFFFAOYSA-N,V9GYQ5,AF-A0A0S2Z449-F1-model_v4,1,WDR5_Mixed-lineage leukemia 1 (MLL1)
QTQJZLSUROYVQY-MFYWSIJSSA-N,E7EX60,P15692,1,Neuropilin-1_VEGF-A
UMPJRGAFFRSXRX-MHWRWJLKSA-N,Q9UBK2,B5MCN7,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
AFUSGLDYQSDIEU-NQIIRXRSSA-N,A0A024R2F2,A8MYV6,1,VHL_HIF1A
QFWUINADTOYHEQ-UHFFFAOYSA-N,A0A221ZRZ4,C9K0N6,1,KRAS_SOS1
MHBMGYUTFNIVKQ-MSOLQXFVSA-N,A0A024R2F2,A8MYV6,1,VHL_HIF1A
YXIWHUQXZSMYRE-UHFFFAOYSA-N,E5RH72,H3BSC0,1,Runt-related transcription factor 1_Core-binding factor subunit beta
ZWVJLHBALJEXDG-UHFFFAOYSA-N,P10415,Q16611,0,"BCL-like_BAX,BAK"
GEKDQXSPTHHANP-OUKQBFOZSA-N,E9PNT5,A0A248X3Z1,0,Rad51_BRCA2
HRYYDNAJRUXAJE-UHFFFAOYSA-N,B1AKU2,Q9NR28,1,XIAP_SMAC
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,A8MTI9,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
ZISVVFAZFZVTIA-UHFFFAOYSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,0,ZIPA_FTSZ
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,Q9NUV7,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
OYMBPGIJVSFLHA-UHFFFAOYSA-N,A0A5F9ZGX7,C9JL16,1,BCoR_BCL6
BBVKWFPUAZBKNG-SFTDATJTSA-N,A0A0U1RQC9,O15151,0,p53_MDMX
WZMCNMSXIKEYTO-UHFFFAOYSA-N,Q86YN6,B5MCN7,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 1
LOGJQOUIVKBFGH-YBEGLDIGSA-N,P63096,O14924,1,Guanine nucleotide-binding protein G(i) subunit alpha-1_Regulator of G-protein signaling 12
PYLOYQVSTXHVHC-UHFFFAOYSA-N,P33681,P10747,1,CD80_CD28
NWYNQWTUKVVKIY-UHFFFAOYSA-N,Q5T0Y2,P04637,1,MDM4_P53
WRPUUSQAMFPAII-UHFFFAOYSA-N,K7EJD8,Q16236,1,KEAP1_NRF2
MZBCNTIPBPFKKG-UHFFFAOYSA-N,A0N0P2,P10747,1,CD80_CD28
IRGRJLCAWLZOOO-UHFFFAOYSA-N,Q5T179,A0A7P0S4R7,1,Cyclin-dependent kinases regulatory subunit 1_S-phase kinase-associated protein 2
VBYZMMGCVXGBGF-UHFFFAOYSA-N,B3KUF4,A1ECB6,1,GATA4_NKX2-5
PSUIIKIEUATWCZ-UHFFFAOYSA-N,O14980,Q9UBZ9,0,CRM1_Rev
BUVAZQXCXBXZFW-UHFFFAOYSA-N,D0VY79,Q09472,1,HIF-1a_p300
WZMCNMSXIKEYTO-UHFFFAOYSA-N,E9PFV2,AF-E5RFN9-F1-model_v4,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 2
AOUHWULWMVOYCP-UHFFFAOYSA-N,A4D2P0,Q13009,1,RAC1_TIAM1
YDFSHLBEHJOQOZ-UHFFFAOYSA-N,D0VY79,Q09472,0,HIF-1a_p300
VUXOFHFUVPBJOK-UHFFFAOYSA-N,Q0VDC6,Q5W0X3,0,FKBP1A_FK506
NOKPBJYHPHHWAN-REOHCLBHSA-N,E5RH72,J3KS23,1,Runt-related transcription factor 1_Core-binding factor subunit beta
DDEBWWZIZBIPQB-UHFFFAOYSA-N,A6NMY6,Q6FGE5,1,Annexin A2_S100-A10
ODLWJDMOWAOUTP-UHFFFAOYSA-N,Q5JWQ4,P15692,0,Neuropilin-1_VEGF-A
UEFBMKGVQXOXRD-MRXNPFEDSA-N,M4PPE6,Q14397,1,Glucokinase_Glucokinase regulatory protein
HIHPOLCVAWABTN-KVJIRVJXSA-N,P98170,Q9NR28,0,XIAP_SMAC
ICKFFNBDFNZJSX-UHFFFAOYSA-N,Q05397,P35916,1,FAK_VEGFR3
CVHQRCGLEMJPCC-UHFFFAOYSA-N,D0VY79,Q09472,0,HIF-1a_p300
UQNAFPHGVPVTAL-UHFFFAOYSA-N,Q01196,Q13951,1,Runt-related transcription factor 1_Core-binding factor subunit beta
DOVNUEPFPBWTSV-UHFFFAOYSA-N,A0A0S2Z4U0,Q05655,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
PGKUSHWBQJPFOP-UHFFFAOYSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,0,ZIPA_FTSZ
RZVAJINKPMORJF-UHFFFAOYSA-N,Q53TG3,Q96LD9,1,BAZ2B_H4
DIFKWHRMEGFLSD-DBEUHZBBSA-N,B4DL06,P17544,1,Catenin beta-1_Transcription factor 7
FSXGYVHBBBJVIA-UHFFFAOYSA-N,P15692,P17948,1,VEGF_VEGFR
UPNVCLGZCSJWTF-UHFFFAOYSA-N,B7Z5M1,H3BQR0,0,Importin subunit beta-1_Snurportin-1
WOYRQBRHXBCHHZ-UHFFFAOYSA-N,V9GYQ5,AF-A0A0S2Z448-F1-model_v4,0,WDR5_Mixed-lineage leukemia 1 (MLL1)
ZAYJSFVXCOIZBP-UHFFFAOYSA-N,F5H480,Q5NUL3,1,CD4_gp120
ZRNVJPHRKFRCJJ-PKNBQFBNSA-N,O14980,Q9UBZ9,0,CRM1_Rev
DIFKWHRMEGFLSD-DBEUHZBBSA-N,B4DL06,Q8N100,1,Catenin beta-1_Transcription factor 7
KOMSBJUHQBWWAX-UHFFFAOYSA-N,A0A7I2V3S6,Q1JUQ3,0,FKBP1A_FK506
WMKGGPCROCCUDY-PHEQNACWSA-N,Q8WTS1,K7EIX1,1,1-acylglycerol-3-phosphate O-acyltransferase ABHD5_Perilipin-5
WUCKZOSKFXRLQN-UHFFFAOYSA-N,B7Z752,H3BRI5,0,Importin subunit beta-1_Snurportin-1
SOZJMQJCCKPSJW-UHFFFAOYSA-N,P35222,E5RG75,1,Beta-catenin_TCF
SLGRAIAQIAUZAQ-UHFFFAOYSA-N,A0A2R8Y543,H0YAR8,1,Beta-catenin_TCF
FRMVVXQYUFKPPV-GQEMFKIVSA-N,V9H0F2,O75475,1,INTEGRASE_LEDGF
PJDTZFALUHHEAN-UHFFFAOYSA-N,E7EN32,Q9UPD0,0,MENIN_MLL
BZXKWTWZOMZUEU-UHFFFAOYSA-N,C9JHP3,Q16413,0,BCoR_BCL6
ZTARWFDZIIJOSM-UHFFFAOYSA-N,P07355,P60903,0,Annexin A2_S100-A10
HUSXFCUWEMVFSQ-MOSHPQCFSA-N,K7ESE0,Q16236,0,KEAP1_NRF2
SUNSLACFIOGRFF-VWLOTQADSA-N,A0A669KBG0,Q9UH51,1,PCSK9_LDLR
CWSZHBQRCOKIPI-UHFFFAOYSA-N,A0A7I2V3S6,Q1JUQ3,0,FKBP1A_FK506
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,Q9GZT4,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
QCLBVGLQKICMSD-UHFFFAOYSA-N,P15692,A0A1W2PNW4,1,VEGF_VEGFR
MBRLOUHOWLUMFF-UHFFFAOYSA-N,O14980,Q9UBZ9,1,CRM1_Rev
IWBFEZBCHATORP-UHFFFAOYSA-N,B0LXF2,A1ECB1,1,GATA4_NKX2-5
MQUQNUAYKLCRME-INIZCTEOSA-N,H0YM16,A0A0S2Z572,1,Perilipin-1_ABHD5
ANTBHOYUTISZGD-UHFFFAOYSA-N,P03971,AF-P04233-F1-model_v4,0,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
ALVVXSSFOOYRDP-UHFFFAOYSA-N,P62166,E9PLE5,0,NCS-1_Ric8a
AOYWRFHEAZOZRH-CVEARBPZSA-N,F5H480,Q5NUL3,1,CD4_gp120
ODRIFPHNSHOZGS-UHFFFAOYSA-N,A0A7I2V3S6,P62942,1,FKBP1A_FK506
QCLBVGLQKICMSD-UHFFFAOYSA-N,P15692,P17948,1,VEGF_VEGFR
UFMMPSKCGPWMLI-UHFFFAOYSA-N,O15151,P04637,1,MDM4_P53
DIFKWHRMEGFLSD-DBEUHZBBSA-N,B4DSW9,Q8N100,1,Catenin beta-1_Transcription factor 7
ZRNVJPHRKFRCJJ-LUAWRHEFSA-N,O14980,Q9UBZ9,0,CRM1_Rev
SECXISVLQFMRJM-UHFFFAOYSA-N,AF-Q5EBM5-F1-model_v4,P0DPK2,1,PB1-5_H3
BUJCZVUOCWSJEK-UHFFFAOYSA-N,A4D2P0,A0A1B0GW57,1,RAC1_TIAM1
MWSUIZKGNWELRF-UHFFFAOYSA-N,E9PNT5,A0A248X3X9,1,Rad51_BRCA2
PRFAPNBSAKGDHK-UHFFFAOYSA-N,M0QZD9,Q9NWY4,1,Bromodomain_Histone
SUNSLACFIOGRFF-VWLOTQADSA-N,A0A669KBG0,E1B4T0,1,PCSK9_LDLR
KWGRBVOPPLSCSI-WCBMZHEXSA-N,A0A3B3IUA8,O43665,1,Guanine nucleotide-binding protein G(i) subunit alpha-1_Regulator of G-protein signaling 12
BAXOFTOLAUCFNW-UHFFFAOYSA-N,E9PNT5,A0A248X3X9,0,Rad51_BRCA2
BJNWHSZSRCJLNX-IQCCBIBNSA-N,B4E3L8,O43521,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
SVMSPCODNMIVPY-UHFFFAOYSA-N,K7ESE0,Q16236,0,KEAP1_NRF2
VRZJVUPPQWDFAC-YHYXMXQVSA-N,D0VY79,Q09472,0,HIF-1a_p300
BNDPDYQQAJUJPY-SFHVURJKSA-N,V9H0F2,O75475,1,INTEGRASE_LEDGF
DDEBWWZIZBIPQB-UHFFFAOYSA-N,P07355,P60903,1,Annexin A2_S100-A10
MZBCNTIPBPFKKG-UHFFFAOYSA-N,A0N0P2,P10747,1,CD80_CD28
KXHZWUUTWSKONE-UHFFFAOYSA-N,A8MRB1,S4R334,0,S100B_p53
CXKWCBBOMKCUKX-UHFFFAOYSA-M,Q86YN6,B4DYT5,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 3
SVBCOAAIOJDZNC-BQYQJAHWSA-N,AF-Q5EBM5-F1-model_v4,Q16695,1,PB1-5_H3
ALZVAGBHXQHAIA-UHFFFAOYSA-N,E5RH72,Q13951,1,Runt-related transcription factor 1_Core-binding factor subunit beta
ICKFFNBDFNZJSX-UHFFFAOYSA-N,A0A059VC25,B5A927,1,FAK_VEGFR3
JNQJQTCXPFQVCE-UHFFFAOYSA-N,Q6X907,P15692,0,Neuropilin-1_VEGF-A
BWMBRQDEPKCRBD-GMAHTHKFSA-N,Q0GK43,A2N4P8,0,IL2_IL2R
HQXURVDTMCNLFE-UHFFFAOYSA-N,P43694,A1ECB6,1,GATA4_NKX2-5
GEKDQXSPTHHANP-OUKQBFOZSA-N,E9PI54,A0A248X3Z6,0,Rad51_BRCA2
PSUIIKIEUATWCZ-UHFFFAOYSA-N,O14980,Q9UBZ9,0,CRM1_Rev
LUJMEECXHPYQOF-UHFFFAOYSA-N,Q53TG3,Q96LD9,1,BAZ2B_H4
TZVNNUHRZXQCHM-UHFFFAOYSA-N,E9PMB8,A0A023PX70,1,Ras and Rab interactor 1_Tyrosine-protein kinase ABL1
LICJTIDRHJECTD-SFHVURJKSA-N,AF-P77173-F1-model_v4,AF-P0A9A6-F1-model_v4,1,ZIPA_FTSZ
HNFIJWNVPWXSOL-UHFFFAOYSA-N,E9PFV2,AF-E5RFN9-F1-model_v4,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 2
LSVSINNXAJHMRT-UHFFFAOYSA-N,Q9HBZ2,B3KW07,1,Aryl hydrocarbon receptor nuclear translocator_Endothelial PAS domain-containing protein 1
MZBCNTIPBPFKKG-UHFFFAOYSA-N,A0N0P2,P10747,1,CD80_CD28
ICKFFNBDFNZJSX-UHFFFAOYSA-N,Q05397,P35916,1,FAK_VEGFR3
YMSHSKJZBZKCOR-XBXARRHUSA-N,P03971,AF-E7EQJ3-F1-model_v4,1,MIF_CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
SMEJQLRLHKWIFV-UHFFFAOYSA-N,P32455,A8MTI9,1,Interferon-induced guanylate-binding protein 1_Serine_threonine-protein kinase pim-1
AARUNXNNAZIAQK-UHFFFAOYSA-N,B3CJ72,Q6V3B1,1,MYC_MAX
GEZLGTDWJODBNX-UHFFFAOYSA-N,B7Z752,O95149,1,Importin subunit beta-1_Snurportin-1
UXGUZFZBZPPZGL-UHFFFAOYSA-N,P19438,P01374,1,TNFR1A_TNFB
YXBURMMYJOWGPB-UHFFFAOYSA-N,Q0VDC6,Q5W0X3,1,FKBP1A_FK506
KNJKLBLRJBJXFN-UHFFFAOYSA-N,B4E3L8,C9J417,1,Induced myeloid leukemia cell differentiation protein Mcl-1_Bcl-2-like protein 11
PMTYRSVJRMNIIS-BQYQJAHWSA-N,O14980,Q9UBZ9,0,CRM1_Rev
KBLBOZBAVQRJSU-UHFFFAOYSA-N,V9H0F2,O75475,1,INTEGRASE_LEDGF
HNFIJWNVPWXSOL-UHFFFAOYSA-N,Q5VV67,AF-E7EWM1-F1-model_v4,1,Peroxisome proliferator-activated receptor gamma_Nuclear receptor coactivator 2
